image,race_scores,obese_scores
91.png,"[9.9995846e-01 3.0710083e-09 7.4541504e-06 9.9934971e-07 6.4696576e-07
 5.5321181e-08 3.2379863e-05]","[0.0008749305852688849, 0.17003101110458374, 0.8290940523147583]"
92.png,"[1.9537511e-05 9.8599011e-01 1.6842360e-03 6.9782105e-03 5.1973844e-03
 1.2766385e-04 2.9019391e-06]","[0.44599851965904236, 0.17506490647792816, 0.3789365589618683]"
93.png,"[0.11762722 0.00443757 0.7824031  0.01059776 0.0598921  0.01244172
 0.01260053]","[0.9999953508377075, 4.701699253928382e-06, 3.413065316482111e-11]"
94.png,"[9.9609393e-01 6.4966753e-06 3.5500599e-04 7.4084972e-05 5.7591024e-05
 4.4444529e-05 3.3683360e-03]","[0.001953352242708206, 0.8357205986976624, 0.16232605278491974]"
95.png,"[9.8349255e-01 9.7238353e-07 1.7897834e-03 5.7843231e-06 5.2749324e-06
 3.2386652e-05 1.4673211e-02]","[0.9993234872817993, 0.0006395098753273487, 3.706220013555139e-05]"
96.png,"[7.39649117e-01 2.24008048e-07 6.71470887e-04 2.66357034e-04
 1.15126604e-04 8.76114973e-06 2.59288907e-01]","[0.9837469458580017, 0.009438441134989262, 0.006814631167799234]"
97.png,"[1.2928533e-03 3.4809009e-06 3.8829485e-03 7.4139112e-01 2.5324231e-01
 1.3957145e-04 4.7640027e-05]","[1.1478663708430759e-07, 0.9999995231628418, 3.5113055218971567e-07]"
98.png,"[6.1276145e-03 6.7936776e-06 3.1063443e-03 8.0061656e-01 1.8789068e-01
 1.8623644e-04 2.0657135e-03]","[0.039570022374391556, 0.0004016612365376204, 0.9600282907485962]"
99.png,"[9.2239249e-01 1.5039165e-06 2.0242452e-03 3.0139536e-05 2.4887433e-05
 8.6316613e-05 7.5440370e-02]","[0.006507761776447296, 0.9934188723564148, 7.328434003284201e-05]"
100.png,"[7.2037989e-01 1.5056799e-03 1.5739998e-02 1.9680870e-01 4.4103775e-02
 5.3098256e-04 2.0930935e-02]","[0.205775186419487, 0.4539233446121216, 0.34030142426490784]"
101.png,"[8.2650529e-03 4.7198165e-04 4.9329150e-02 6.1561733e-01 2.6605779e-01
 3.9272487e-02 2.0986289e-02]","[0.9437292218208313, 0.051520902663469315, 0.00474990950897336]"
102.png,"[9.8174727e-01 6.1357830e-04 1.1316074e-02 9.0357949e-05 9.6127471e-05
 9.6256095e-05 6.0403137e-03]","[0.029969893395900726, 0.08131756633520126, 0.8887125253677368]"
103.png,"[2.6854986e-01 1.3710819e-03 2.7165386e-01 3.8842834e-04 1.4315170e-03
 1.6010201e-02 4.4059503e-01]","[0.0035781580954790115, 0.16123013198375702, 0.8351917266845703]"
104.png,"[0.00252021 0.00083395 0.01926555 0.32413533 0.6492836  0.00198879
 0.00197255]","[9.595866868039593e-05, 0.9771421551704407, 0.02276192605495453]"
105.png,"[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]","[3.95271217712434e-06, 0.9999953508377075, 7.420582619488414e-07]"
106.png,"[2.4295757e-04 7.9667628e-01 2.4196414e-02 1.9625212e-04 8.8235009e-03
 1.6982873e-01 3.5886107e-05]","[0.012533987872302532, 0.09843999892473221, 0.8890260457992554]"
107.png,"[7.7826267e-01 2.8611475e-04 1.3052031e-01 1.8935124e-03 7.2576228e-04
 1.7937651e-03 8.6517856e-02]","[0.13639135658740997, 0.8532890677452087, 0.01031958032399416]"
108.png,"[1.9964641e-06 9.9882782e-01 3.5627175e-04 3.6239155e-05 3.4343678e-04
 4.3154639e-04 2.6511862e-06]","[0.9848093390464783, 0.0001641972630750388, 0.015026425942778587]"
109.png,"[0.0166959  0.00184032 0.24109134 0.43161622 0.26133418 0.04284102
 0.00458107]","[0.08985549211502075, 0.909352719783783, 0.0007918265764601529]"
110.png,"[0.0074049  0.00073288 0.07432365 0.5493869  0.36052245 0.00285738
 0.00477181]","[0.5188096165657043, 0.415810763835907, 0.06537966430187225]"
111.png,"[0.6203342  0.00149393 0.25718427 0.00255308 0.00462181 0.0022898
 0.11152302]","[0.9998162388801575, 0.00018157812883146107, 2.300139612998464e-06]"
112.png,"[1.1807937e-02 8.6475875e-06 1.1718230e-02 7.8037798e-01 1.5963838e-01
 4.1607628e-03 3.2288134e-02]","[0.9999920129776001, 8.852779842527525e-09, 8.014462764549535e-06]"
113.png,"[4.6062612e-04 2.5605317e-05 1.5567451e-03 9.0223134e-01 9.5450461e-02
 2.1537783e-04 5.9834038e-05]","[0.9167858362197876, 0.008070527575910091, 0.07514363527297974]"
